start;payout_offer;payout_accept;fee
0;200000000;0;300000
20000;200000000;0;300000
20001;199985001;14999;300000
20002;199970003;29997;300000
20003;199955007;44993;300000
20004;199940012;59988;300000
20005;199925019;74981;300000
20006;199910027;89973;300000
20007;199895037;104963;300000
20008;199880048;119952;300000
20009;199865061;134939;300000
20010;199850075;149925;300000
20011;199835091;164909;300000
20012;199820108;179892;300000
20013;199805127;194873;300000
20014;199790147;209853;300000
20015;199775169;224831;300000
20016;199760192;239808;300000
20017;199745217;254783;300000
20018;199730243;269757;300000
20019;199715270;284730;300000
20020;199700300;299700;300000
20021;199685330;314670;300000
20022;199670363;329637;300000
20023;199655396;344604;300000
20024;199640431;359569;300000
20025;199625468;374532;300000
20026;199610506;389494;300000
20027;199595546;404454;300000
20028;199580587;419413;300000
20029;199565630;434370;300000
20030;199550674;449326;300000
20031;199535720;464280;300000
20032;199520767;479233;300000
20033;199505815;494185;300000
20034;199490866;509134;300000
20035;199475917;524083;300000
20036;199460970;539030;300000
20037;199446025;553975;300000
20038;199431081;568919;300000
20039;199416139;583861;300000
20040;199401198;598802;300000
20041;199386258;613742;300000
20042;199371320;628680;300000
20043;199356384;643616;300000
20044;199341449;658551;300000
20045;199326515;673485;300000
20046;199311583;688417;300000
20047;199296653;703347;300000
20048;199281724;718276;300000
20049;199266796;733204;300000
20050;199251870;748130;300000
20051;199236946;763054;300000
20052;199222023;777977;300000
20053;199207101;792899;300000
20054;199192181;807819;300000
20055;199177263;822737;300000
20056;199162345;837655;300000
20057;199147430;852570;300000
20058;199132516;867484;300000
20059;199117603;882397;300000
20060;199102692;897308;300000
20061;199087782;912218;300000
20062;199072874;927126;300000
20063;199057967;942033;300000
20064;199043062;956938;300000
20065;199028158;971842;300000
20066;199013256;986744;300000
20067;198998356;1001644;300000
20068;198983456;1016544;300000
20069;198968558;1031442;300000
20070;198953662;1046338;300000
20071;198938767;1061233;300000
20072;198923874;1076126;300000
20073;198908982;1091018;300000
20074;198894092;1105908;300000
20075;198879203;1120797;300000
20076;198864316;1135684;300000
20077;198849430;1150570;300000
20078;198834545;1165455;300000
20079;198819662;1180338;300000
20080;198804781;1195219;300000
20081;198789901;1210099;300000
20082;198775022;1224978;300000
20083;198760145;1239855;300000
20084;198745270;1254730;300000
20085;198730396;1269604;300000
20086;198715523;1284477;300000
20087;198700652;1299348;300000
20088;198685783;1314217;300000
20089;198670914;1329086;300000
20090;198656048;1343952;300000
20091;198641183;1358817;300000
20092;198626319;1373681;300000
20093;198611457;1388543;300000
20094;198596596;1403404;300000
20095;198581737;1418263;300000
20096;198566879;1433121;300000
20097;198552023;1447977;300000
20098;198537168;1462832;300000
20099;198522315;1477685;300000
20100;198507463;1492537;300000
20101;198492612;1507388;300000
20102;198477763;1522237;300000
20103;198462916;1537084;300000
20104;198448070;1551930;300000
20105;198433226;1566774;300000
20106;198418383;1581617;300000
20107;198403541;1596459;300000
20108;198388701;1611299;300000
20109;198373862;1626138;300000
20110;198359025;1640975;300000
20111;198344190;1655810;300000
20112;198329356;1670644;300000
20113;198314523;1685477;300000
20114;198299692;1700308;300000
20115;198284862;1715138;300000
20116;198270034;1729966;300000
20117;198255207;1744793;300000
20118;198240382;1759618;300000
20119;198225558;1774442;300000
20120;198210736;1789264;300000
20121;198195915;1804085;300000
20122;198181095;1818905;300000
20123;198166277;1833723;300000
20124;198151461;1848539;300000
20125;198136646;1863354;300000
20126;198121832;1878168;300000
20127;198107020;1892980;300000
20128;198092210;1907790;300000
20129;198077401;1922599;300000
20130;198062593;1937407;300000
20131;198047787;1952213;300000
20132;198032982;1967018;300000
20133;198018179;1981821;300000
20134;198003377;1996623;300000
20135;197988577;2011423;300000
20136;197973778;2026222;300000
20137;197958981;2041019;300000
20138;197944185;2055815;300000
20139;197929391;2070609;300000
20140;197914598;2085402;300000
20141;197899806;2100194;300000
20142;197885016;2114984;300000
20143;197870228;2129772;300000
20144;197855441;2144559;300000
20145;197840655;2159345;300000
20146;197825871;2174129;300000
20147;197811088;2188912;300000
20148;197796307;2203693;300000
20149;197781528;2218472;300000
20150;197766749;2233251;300000
20151;197751973;2248027;300000
20152;197737197;2262803;300000
20153;197722423;2277577;300000
20154;197707651;2292349;300000
20155;197692880;2307120;300000
20156;197678111;2321889;300000
20157;197663343;2336657;300000
20158;197648576;2351424;300000
20159;197633811;2366189;300000
20160;197619048;2380952;300000
20161;197604286;2395714;300000
20162;197589525;2410475;300000
20163;197574766;2425234;300000
20164;197560008;2439992;300000
20165;197545252;2454748;300000
20166;197530497;2469503;300000
20167;197515744;2484256;300000
20168;197500992;2499008;300000
20169;197486241;2513759;300000
20170;197471492;2528508;300000
20171;197456745;2543255;300000
20172;197441999;2558001;300000
20173;197427254;2572746;300000
20174;197412511;2587489;300000
20175;197397770;2602230;300000
20176;197383029;2616971;300000
20177;197368291;2631709;300000
20178;197353553;2646447;300000
20179;197338818;2661182;300000
20180;197324083;2675917;300000
20181;197309350;2690650;300000
20182;197294619;2705381;300000
20183;197279889;2720111;300000
20184;197265161;2734839;300000
20185;197250433;2749567;300000
20186;197235708;2764292;300000
20187;197220984;2779016;300000
20188;197206261;2793739;300000
20189;197191540;2808460;300000
20190;197176820;2823180;300000
20191;197162102;2837898;300000
20192;197147385;2852615;300000
20193;197132670;2867330;300000
20194;197117956;2882044;300000
20195;197103243;2896757;300000
20196;197088532;2911468;300000
20197;197073823;2926177;300000
20198;197059115;2940885;300000
20199;197044408;2955592;300000
20200;197029703;2970297;300000
20201;197014999;2985001;300000
20202;197000297;2999703;300000
20203;196985596;3014404;300000
20204;196970897;3029103;300000
20205;196956199;3043801;300000
20206;196941503;3058497;300000
20207;196926808;3073192;300000
20208;196912114;3087886;300000
20209;196897422;3102578;300000
20210;196882731;3117269;300000
20211;196868042;3131958;300000
20212;196853354;3146646;300000
20213;196838668;3161332;300000
20214;196823983;3176017;300000
20215;196809300;3190700;300000
20216;196794618;3205382;300000
20217;196779938;3220062;300000
20218;196765259;3234741;300000
20219;196750581;3249419;300000
20220;196735905;3264095;300000
20221;196721230;3278770;300000
20222;196706557;3293443;300000
20223;196691885;3308115;300000
20224;196677215;3322785;300000
20225;196662546;3337454;300000
20226;196647879;3352121;300000
20227;196633213;3366787;300000
20228;196618549;3381451;300000
20229;196603886;3396114;300000
20230;196589224;3410776;300000
20231;196574564;3425436;300000
20232;196559905;3440095;300000
20233;196545248;3454752;300000
20234;196530592;3469408;300000
20235;196515938;3484062;300000
20236;196501285;3498715;300000
20237;196486633;3513367;300000
20238;196471983;3528017;300000
20239;196457335;3542665;300000
20240;196442688;3557312;300000
20241;196428042;3571958;300000
20242;196413398;3586602;300000
20243;196398755;3601245;300000
20244;196384114;3615886;300000
20245;196369474;3630526;300000
20246;196354836;3645164;300000
20247;196340199;3659801;300000
20248;196325563;3674437;300000
20249;196310929;3689071;300000
20250;196296296;3703704;300000
20251;196281665;3718335;300000
20252;196267035;3732965;300000
20253;196252407;3747593;300000
20254;196237780;3762220;300000
20255;196223155;3776845;300000
20256;196208531;3791469;300000
20257;196193908;3806092;300000
20258;196179287;3820713;300000
20259;196164668;3835332;300000
20260;196150049;3849951;300000
20261;196135433;3864567;300000
20262;196120817;3879183;300000
20263;196106203;3893797;300000
20264;196091591;3908409;300000
20265;196076980;3923020;300000
20266;196062370;3937630;300000
20267;196047762;3952238;300000
20268;196033156;3966844;300000
20269;196018550;3981450;300000
20270;196003947;3996053;300000
20271;195989344;4010656;300000
